Buffer,localnode.smua.nvbuffer1,
NumReadings,121,
BaseTimestamp,1.58E+09,
Timestamp (localnode.smua.nvbuffer1),Source Value (localnode.smua.nvbuffer1),Reading (localnode.smua.nvbuffer1)
0,-0.1,-0.002061868
0.116725,-0.09,-0.002034569
0.233449,-0.08,-0.002020943
0.350176,-0.07,-0.002011573
0.466903,-0.06,-0.002006567
0.58363,-0.05,-0.002000678
0.700355,-0.04,-0.001997161
0.81708,-0.03,-0.001993692
0.933805,-0.02,-0.001990497
1.050532,-0.01,-0.00198791
1.167367,1.39E-17,-0.001985836
1.284092,0.01,-0.001983452
1.400816,0.02,-0.001981652
1.517541,0.03,-0.001980221
1.634267,0.04,-0.0019786
1.750994,0.05,-0.001975882
1.867721,0.06,-0.001974881
1.984445,0.07,-0.001972663
2.10117,0.08,-0.001971054
2.217894,0.09,-0.001970565
2.334621,0.1,-0.001968098
2.451348,0.11,-0.001967669
2.568075,0.12,-0.001966298
2.684799,0.13,-0.001964676
2.801523,0.14,-0.001963139
2.918247,0.15,-0.001960933
3.034974,0.16,-0.001959932
3.151701,0.17,-0.001959574
3.268428,0.18,-0.00195682
3.385153,0.19,-0.00195477
3.501878,0.2,-0.001954663
3.618603,0.21,-0.001952052
3.73533,0.22,-0.001950884
3.852057,0.23,-0.00194912
3.968784,0.24,-0.00194751
4.085509,0.25,-0.001946366
4.202233,0.26,-0.001945365
4.318958,0.27,-0.001943386
4.435685,0.28,-0.001940858
4.552412,0.29,-0.001939428
4.669139,0.3,-0.001937699
4.785864,0.31,-0.001935828
4.902588,0.32,-0.001933432
5.019312,0.33,-0.001932097
5.136039,0.34,-0.001929748
5.252766,0.35,-0.00192734
5.369493,0.36,-0.001925755
5.486217,0.37,-0.001922846
5.602942,0.38,-0.001920998
5.719666,0.39,-0.001918554
5.836392,0.4,-0.001915991
5.953119,0.41,-0.001912344
6.069846,0.42,-0.001910532
6.186571,0.43,-0.001906931
6.303296,0.44,-0.001904154
6.42002,0.45,-0.001901043
6.536747,0.46,-0.001897907
6.653474,0.47,-0.001893878
6.770201,0.48,-0.001889646
6.886925,0.49,-0.00188539
7.00365,0.5,-0.001881933
7.120374,0.51,-0.001878238
7.237101,0.52,-0.001874173
7.353828,0.53,-0.001868236
7.470556,0.54,-0.00186404
7.587281,0.55,-0.001858425
7.704006,0.56,-0.001853228
7.820731,0.57,-0.00184691
7.937458,0.58,-0.001841199
8.054185,0.59,-0.001833618
8.170912,0.6,-0.001827264
8.287637,0.61,-0.001818597
8.404362,0.62,-0.001810527
8.521086,0.63,-0.00180093
8.637814,0.64,-0.001791287
8.754541,0.65,-0.001780582
8.871268,0.66,-0.00176903
8.987992,0.67,-0.001755416
9.104717,0.68,-0.00174191
9.221442,0.69,-0.001726043
9.338169,0.7,-0.001710069
9.454896,0.71,-0.001691592
9.571623,0.72,-0.001671338
9.688348,0.73,-0.001650178
9.805073,0.74,-0.001626551
9.921798,0.75,-0.001600146
10.03852,0.76,-0.001573169
10.15525,0.77,-0.001542604
10.27198,0.78,-0.00150919
10.3887,0.79,-0.001472628
10.50543,0.8,-0.001433444
10.62215,0.81,-0.001390147
10.73888,0.82,-0.001343501
10.85561,0.83,-0.001292014
10.97233,0.84,-0.001235402
11.08906,0.85,-0.001174438
11.20578,0.86,-0.001107073
11.32251,0.87,-0.001033628
11.43923,0.88,-9.54E-04
11.55596,0.89,-8.66E-04
11.67269,0.9,-7.70E-04
11.78942,0.91,-6.65E-04
11.90614,0.92,-5.51E-04
12.02286,0.93,-4.27E-04
12.13959,0.94,-2.93E-04
12.25632,0.95,-1.49E-04
12.37304,0.96,5.45E-06
12.48977,0.97,1.71E-04
12.60649,0.98,3.47E-04
12.72322,0.99,5.33E-04
12.83995,1,7.29E-04
12.95667,1.01,9.36E-04
13.0734,1.02,0.001151514
13.19013,1.03,0.001377416
13.30685,1.04,0.001612043
13.42357,1.05,0.001854634
13.5403,1.06,0.002106559
13.65703,1.07,0.002365136
13.77376,1.08,0.002632165
13.89048,1.09,0.002906132
14.0072,1.1,0.003187323
